COMUNE;LATITUDINE;LONGITUDINE;INCIDENZA
PEDACE;39.2754914  ;16.3375229  ;1
COSENZA;39.2953952  ;16.2536091  ;7
MANGONE;39.2056982  ;16.3325020  ;1
BISIGNANO;39.5126032  ;16.2871852  ;3
VIBO VALENTIA;38.6756100  ;16.0976600  ;1
CASOLE BRUZIO;39.2854814  ;16.3373518  ;1
SPEZZANO DELLA SILA;39.3023518  ;16.3395370  ;2
CASTROLIBERO;39.3086510  ;16.1945012  ;1
PARENTI;39.1632962  ;16.4114259  ;1
RENDE;39.3315484  ;16.1814557  ;5
SAN MARCO ARGENTANO;39.5596533  ;16.1207447  ;1
TORANO CASTELLO;39.5059486  ;16.1457320  ;1
ROSSANO;39.5763920  ;16.6341600  ;1
MARZI;39.1718888  ;16.3073703  ;1
TREBISACCE;39.8721394  ;16.5312404  ;1
MARANO MARCHESATO;39.3170370  ;16.1747037  ;1
DIPIGNANO;39.2386111  ;16.2539074  ;2
SAN PIETRO IN GUARANO;39.3432962  ;16.3123518  ;1
SAN GIORGIO ALBANESE;39.5834629  ;16.4543888  ;2
STEFANACONI;38.6789074  ;16.1250000  ;1
SAN GIOVANNI IN FIORE;39.2602360  ;16.6989030  ;1
LATTARICO;39.4644147  ;16.1381891  ;1
SANTA SOFIA D'EPIRO;39.5475000  ;16.3298518  ;1
BELMONTE CALABRO;39.1624770  ;16.0854650  ;1
SERRA PEDACE;39.2777752  ;16.3478300  ;1
ACRI;39.4910100  ;16.3861457  ;1
CELICO;39.3112777  ;16.3407962  ;1
LUZZI;39.4472037  ;16.2892407  ;2
ROGLIANO;39.1823703  ;16.3218888  ;2
CASALI DEL MANCO;39.2915560  ;16.4086110  ;2
CORIGLIANO CALABRO;39.5961111  ;16.5186111  ;1
